"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishAlertDialog.dart", "Dart", 22, 0, 0, 2, 24
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishBouncingButton.dart", "Dart", 81, 0, 0, 3, 84
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishCircularButton.dart", "Dart", 32, 0, 0, 3, 35
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishFormInput.dart", "Dart", 31, 0, 0, 3, 34
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishInputAlertDialog.dart", "Dart", 40, 0, 0, 10, 50
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Components/StylishLargeButton.dart", "Dart", 34, 0, 0, 3, 37
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/DB/AppDatabase.dart", "Dart", 25, 0, 8, 12, 45
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/DB/DataAccessObject/CategoryClotheDao.dart", "Dart", 35, 0, 0, 12, 47
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/DB/DataAccessObject/CategoryDao.dart", "Dart", 98, 0, 4, 25, 127
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/DB/DataAccessObject/ClotheDao.dart", "Dart", 77, 0, 10, 22, 109
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/DB/jsondbExample.json", "JSON", 0, 49, 0, 0, 49
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Models/Category.dart", "Dart", 49, 0, 0, 15, 64
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Models/CategoryClothes.dart", "Dart", 33, 0, 0, 10, 43
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Models/Clothe.dart", "Dart", 61, 0, 0, 11, 72
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/ScraperAPI/ScraperAPI.dart", "Dart", 33, 0, 0, 6, 39
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Utils/StylishSkeleton.dart", "Dart", 60, 0, 0, 3, 63
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/Utils/global.dart", "Dart", 23, 0, 0, 3, 26
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/CreateClotheView/Components/DropDownCategories.dart", "Dart", 69, 0, 1, 11, 81
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/CreateClotheView/Components/ProductImage.dart", "Dart", 55, 0, 0, 4, 59
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/CreateClotheView/CreateClotheView.dart", "Dart", 153, 0, 3, 16, 172
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/CreateClotheView/bloc/CreateClotheBloc.dart", "Dart", 27, 0, 3, 8, 38
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/EditClotheView/EditClotheView.dart", "Dart", 220, 0, 5, 18, 243
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/Components/CategoryBuilder.dart", "Dart", 23, 0, 0, 3, 26
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/Components/ClotheWidget.dart", "Dart", 161, 0, 0, 8, 169
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/Components/ListCategoryBuilder.dart", "Dart", 59, 0, 0, 7, 66
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/HomeView.dart", "Dart", 45, 0, 0, 5, 50
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/bloc/HomeBloc.dart", "Dart", 32, 0, 0, 3, 35
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/HomeView/bloc/HomeState.dart", "Dart", 16, 0, 0, 5, 21
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SettingsView.dart", "Dart", 73, 0, 0, 5, 78
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SubViews/AboutMeView/AboutMeView.dart", "Dart", 19, 0, 0, 1, 20
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SubViews/AdvancedSettingsView/AdvancedSettingsView.dart", "Dart", 19, 0, 0, 2, 21
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SubViews/CloudBackupView/CloudBackupView.dart", "Dart", 19, 0, 0, 2, 21
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SubViews/ManageCategoriesView/Components/StylishCategoryCard.dart", "Dart", 7, 0, 0, 2, 9
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/View/SettingsView/SubViews/ManageCategoriesView/ManageCateogriesView.dart", "Dart", 227, 0, 1, 17, 245
"/Users/andrew/Documents/Development/Progetti/StylishAllFiles/stylish/lib/main.dart", "Dart", 100, 0, 2, 7, 109
"Total", "-", 2058, 49, 37, 267, 2411